12,4341, 6:47:16 44:49:21 3320  1021  PIC DE ROCHEBRUNE, 6:47:16 44:49:21,44:49:21, 6:47:16, 6:47:16 44:49:21 3320,3320, 6:47:16 44:49:21 3320  1021,1021,"30,8",2141,"24,3",PIC DE ROCHEBRUNE,3320,1021,4341,2018,"Estelle, Éloi, Siloé"
63,3578, 0:07:00 42:50:09 3091   487  Pic de Néouvielle, 0:07:00 42:50:09,42:50:09, 0:07:00, 0:07:00 42:50:09 3091,3091, 0:07:00 42:50:09 3091   487, 487,"15,8",2137,"3,9",Pic de Néouvielle,3091,487,3578,2020,"Estelle, Siloé"
10,4390, 6:33:22 45:57:20 2750  1640  POINTE PERCEE, 6:33:22 45:57:20,45:57:20, 6:33:22, 6:33:22 45:57:20 2750,2750, 6:33:22 45:57:20 2750  1640,1640,"59,6",2107,"17,6",POINTE PERCEE,2750,1640,4390,2013,Stéphane MARCHETTI
66,3543, 9:08:01 42:03:35 2352  1191  Monte Renoso, 9:08:01 42:03:35,42:03:35, 9:08:01, 9:08:01 42:03:35 2352,2352, 9:08:01 42:03:35 2352  1191,1191,"50,6",2085,"9,0",Monte Renoso,2352,1191,3543,2000,Estelle
8,4412, 6:45:06 44:57:53 3131  1281  MONT CHABERTON, 6:45:06 44:57:53,44:57:53, 6:45:06, 6:45:06 44:57:53 3131,3131, 6:45:06 44:57:53 3131  1281,1281,"40,9",2082,"11,2",MONT CHABERTON,3131,1281,4412,2018,"Estelle, Éloi, Siloé"
11,4354, 5:55:30 45:02:23 2857  1497  Le Taillefer, 5:55:30 45:02:23,45:02:23, 5:55:30, 5:55:30 45:02:23 2857,2857, 5:55:30 45:02:23 2857  1497,1497,"52,4",2055,"8,7",Le Taillefer,2857,1497,4354,2007,Pierric
13,4336, 7:00:52 45:37:51 3486   850  TESTA DEL RUTOR / RUITOR, 7:00:52 45:37:51,45:37:51, 7:00:52, 7:00:52 45:37:51 3486,3486, 7:00:52 45:37:51 3486   850, 850,"24,4",2050,"9,1",TESTA DEL RUTOR / RUITOR,3486,850,4336,2003,Estelle
45,3789, 6:52:55 44:51:00 3293   496  GRAND GLAIZA, 6:52:55 44:51:00,44:51:00, 6:52:55, 6:52:55 44:51:00 3293,3293, 6:52:55 44:51:00 3293   496, 496,"15,1",2048,"4,2",GRAND GLAIZA,3293,496,3789,2018,"Estelle, Éloi, Siloé"
92,3357, 9:05:55 42:08:15 2389   968  Monte d‘Oro, 9:05:55 42:08:15,42:08:15, 9:05:55, 9:05:55 42:08:15 2389,2389, 9:05:55 42:08:15 2389   968, 968,"40,5",2036,"8,6",Monte d‘Oro,2389,968,3357,2000,Estelle
16,4301, 7:23:05 45:40:44 3559   742  MONTE EMILIUS, 7:23:05 45:40:44,45:40:44, 7:23:05, 7:23:05 45:40:44 3559,3559, 7:23:05 45:40:44 3559   742, 742,"20,8",2032,"12,5",MONTE EMILIUS,3559,742,4301,2015,Estelle
67,3538, 1:00:45 42:32:15 2982   556  PEGUERA, 1:00:45 42:32:15,42:32:15, 1:00:45, 1:00:45 42:32:15 2982,2982, 1:00:45 42:32:15 2982   556, 556,"18,6",2022,"10,6",PEGUERA,2982,556,3538,2008,Estelle
49,3708, 6:51:10 46:01:29 3096   612  MONT BUET, 6:51:10 46:01:29,46:01:29, 6:51:10, 6:51:10 46:01:29 3096,3096, 6:51:10 46:01:29 3096   612, 612,"19,8",2016,"10,9",MONT BUET,3096,612,3708,2001,Estelle
108,3317,-0:15:59 42:46:02 3064   253  Garmo Negro,-0:15:59 42:46:02,42:46:02,-0:15:59,-0:15:59 42:46:02 3064,3064,-0:15:59 42:46:02 3064   253, 253,"8,3",2013,"1,1",Garmo Negro,3064,253,3317,2005,"Pierric, Laurent"
73,3481,-0:03:04 42:41:42 3144   337  LE TAILLON,-0:03:04 42:41:42,42:41:42,-0:03:04,-0:03:04 42:41:42 3144,3144,-0:03:04 42:41:42 3144   337, 337,"10,7",1972,"4,9",LE TAILLON,3144,337,3481,2010 / 2020,"Estelle / Estelle, Siloé"
98,3339, 2:27:24 42:31:09 2784   555  Pic du Canigou, 2:27:24 42:31:09,42:31:09, 2:27:24, 2:27:24 42:31:09 2784,2784, 2:27:24 42:31:09 2784   555, 555,"19,9",1958,"20,3",Pic du Canigou,2784,555,3339,1997,Estelle
57,3637, 0:08:34 42:56:16 2876   761  Pic du Midi de Bigorre, 0:08:34 42:56:16,42:56:16, 0:08:34, 0:08:34 42:56:16 2876,2876, 0:08:34 42:56:16 2876   761, 761,"26,5",1955,"11,1",Pic du Midi de Bigorre,2876,761,3637,2020,"Estelle, Siloé"
30,3977, 5:56:12 44:37:38 2709  1268  Pic de Bure, 5:56:12 44:37:38,44:37:38, 5:56:12, 5:56:12 44:37:38 2709,2709, 5:56:12 44:37:38 2709  1268,1268,"46,8",1936,"14,2",Pic de Bure,2709,1268,3977,Environ 1990 / 2015,"Maman, Pierric, Antoine / Éloi"
56,3639, 6:53:45 45:08:21 3365   274  POINTE FERRAND, 6:53:45 45:08:21,45:08:21, 6:53:45, 6:53:45 45:08:21 3365,3365, 6:53:45 45:08:21 3365   274, 274,"8,1",1930,"2,2",POINTE FERRAND,3365,274,3639,2003,Estelle
50,3707,-0:38:22 42:47:23 2670  1037  VISAURIN / BISAURIN,-0:38:22 42:47:23,42:47:23,-0:38:22,-0:38:22 42:47:23 2670,2670,-0:38:22 42:47:23 2670  1037,1037,"38,8",1929,"15,2",VISAURIN / BISAURIN,2670,1037,3707,2004,Estelle
32,3934, 6:13:42 45:40:54 2217  1717  POINTE D'ARCALOD, 6:13:42 45:40:54,45:40:54, 6:13:42, 6:13:42 45:40:54 2217,2217, 6:13:42 45:40:54 2217  1717,1717,"77,4",1894,"15,7",POINTE D'ARCALOD,2217,1717,3934,2010,
26,4020, 6:56:59 44:37:12 3340   680  BRIC DE RUBREN / MONGIOIA, 6:56:59 44:37:12,44:37:12, 6:56:59, 6:56:59 44:37:12 3340,3340, 6:56:59 44:37:12 3340   680, 680,"20,4",1872,"10,9",BRIC DE RUBREN / MONGIOIA,3340,680,4020,2003,"Estelle, Pierric, Marie, Pascal"
37,3854, 5:47:24 45:17:17 2082  1772  Chamechaude, 5:47:24 45:17:17,45:17:17, 5:47:24, 5:47:24 45:17:17 2082,2082, 5:47:24 45:17:17 2082  1772,1772,"85,1",1872,"17,2",Chamechaude,2082,1772,3854,2007,"Estelle, Maman + (Éloi)"
43,3812, 7:23:05 44:07:23 3143   669  CIME DU GELAS, 7:23:05 44:07:23,44:07:23, 7:23:05, 7:23:05 44:07:23 3143,3143, 7:23:05 44:07:23 3143   669, 669,"21,3",1856,"8,5",CIME DU GELAS,3143,669,3812,2002,Estelle
19,4141, 6:52:23 45:14:39 3162   979  SIGNAL DU PETIT MONT CENIS / POINTE CLAIRY, 6:52:23 45:14:39,45:14:39, 6:52:23, 6:52:23 45:14:39 3162,3162, 6:52:23 45:14:39 3162   979, 979,"31,0",1836,"6,3",SIGNAL DU PETIT MONT CENIS / POINTE CLAIRY,3162,979,4141,2017,"Estelle, Éloi, Siloé"
20,4124, 6:25:50 44:57:01 3664   460  MONTAGNE DES AGNEAUX, 6:25:50 44:57:01,44:57:01, 6:25:50, 6:25:50 44:57:01 3664,3664, 6:25:50 44:57:01 3664   460, 460,"12,6",1826,"4,9",MONTAGNE DES AGNEAUX,3664,460,4124,1989,Jean-Yves ANTOINE
36,3857, 6:17:11 45:49:38 2350  1507  LA TOURNETTE, 6:17:11 45:49:38,45:49:38, 6:17:11, 6:17:11 45:49:38 2350,2350, 6:17:11 45:49:38 2350  1507,1507,"64,1",1809,"10,7",LA TOURNETTE,2350,1507,3857,Été 2013 / Hiver 2014,Éloi / Estelle
99,3375,-0:18:42 42:51:02 2974   401  Pic de Palas,-0:18:42 42:51:02,42:51:02,-0:18:42,-0:18:42 42:51:02 2974,2974,-0:18:42 42:51:02 2974   401, 401,"13,5",1796,"2,1",Pic de Palas,2974,401,3375,2005,"Pierric, Laurent"
29,3984, 6:39:37 44:26:59 3046   938  LE GRAND BERARD, 6:39:37 44:26:59,44:26:59, 6:39:37, 6:39:37 44:26:59 3046,3046, 6:39:37 44:26:59 3046   938, 938,"30,8",1754,"13,9",LE GRAND BERARD,3046,938,3984,2014,Estelle
21,4095, 6:15:31 44:51:52 3589   506  LES ROUIES, 6:15:31 44:51:52,44:51:52, 6:15:31, 6:15:31 44:51:52 3589,3589, 6:15:31 44:51:52 3589   506, 506,"14,1",1752,"6,0",LES ROUIES,3589,506,4095,2003,Estelle + CAF
24,4064, 7:07:34 46:14:14 3051  1013  GRAND MUVERAN, 7:07:34 46:14:14,46:14:14, 7:07:34, 7:07:34 46:14:14 3051,3051, 7:07:34 46:14:14 3051  1013,1013,"33,2",1744,"8,7",GRAND MUVERAN,3051,1013,4064,2012,
83,3411,-0:03:58 42:50:07 2988   423  PIC D'ARDIDEN,-0:03:58 42:50:07,42:50:07,-0:03:58,-0:03:58 42:50:07 2988,2988,-0:03:58 42:50:07 2988   423, 423,"14,2",1734,"8,5",PIC D'ARDIDEN,2988,423,3411,2020,"Estelle, Siloé"
22,4093, 6:21:29 44:56:31 3730   363  ROCHE FAURIO, 6:21:29 44:56:31,44:56:31, 6:21:29, 6:21:29 44:56:31 3730,3730, 6:21:29 44:56:31 3730   363, 363,"9,7",1727,"1,6",ROCHE FAURIO,3730,363,4093,2003,"Estelle, Élise BOINE"
42,3817, 6:42:22 44:15:55 3051   766  MONT PELAT, 6:42:22 44:15:55,44:15:55, 6:42:22, 6:42:22 44:15:55 3051,3051, 6:42:22 44:15:55 3051   766, 766,"25,1",1724,"26,6",MONT PELAT,3051,766,3817,2002 / 2016,"Estelle / Estelle, Éloi"
72,3481, 6:57:45 44:37:11 3328   153  Monte Salsa / Monte Salza, 6:57:45 44:37:11,44:37:11, 6:57:45, 6:57:45 44:37:11 3328,3328, 6:57:45 44:37:11 3328   153, 153,"4,6",1714,"1,0",Monte Salsa / Monte Salza,3328,153,3481,2003,"Estelle, Pierric, Marie, Pascal"
51,3687, 7:09:44 45:24:51 3593    94  Levanna Occidentale, 7:09:44 45:24:51,45:24:51, 7:09:44, 7:09:44 45:24:51 3593,3593, 7:09:44 45:24:51 3593    94,  94,"2,6",1705,0.7,Levanna Occidentale,3593,94,3687,2003 / 2017,"Estelle / Estelle, Éloi, Siloé"
112,3289,-0:14:11 42:48:31 3005   284  La Grande Fache,-0:14:11 42:48:31,42:48:31,-0:14:11,-0:14:11 42:48:31 3005,3005,-0:14:11 42:48:31 3005   284, 284,"9,5",1694,"3,4",La Grande Fache,3005,284,3289,2005 / 2020,"Pierric, Laurent / Siloé, Stéphane MARCHETTI"
48,3740, 6:47:20 44:26:30 3032   708  TETE DE SIGURET, 6:47:20 44:26:30,44:26:30, 6:47:20, 6:47:20 44:26:30 3032,3032, 6:47:20 44:26:30 3032   708, 708,"23,4",1681,"6,6",TETE DE SIGURET,3032,708,3740,2014,Estelle
64,3556, 6:58:20 44:17:02 3031   525  MONT TENIBRE, 6:58:20 44:17:02,44:17:02, 6:58:20, 6:58:20 44:17:02 3031,3031, 6:58:20 44:17:02 3031   525, 525,"17,3",1677,"17,6",MONT TENIBRE,3031,525,3556,2004,"Pierric, Marie & Jphi, Carole"
134,3217, 6:21:06 45:43:47 2062  1155  DENT DE CONS, 6:21:06 45:43:47,45:43:47, 6:21:06, 6:21:06 45:43:47 2062,2062, 6:21:06 45:43:47 2062  1155,1155,"56,0",1669,"7,4",DENT DE CONS,2062,1155,3217,2010,
74,3480, 6:26:52 45:51:00 2483   997  L'ETALE, 6:26:52 45:51:00,45:51:00, 6:26:52, 6:26:52 45:51:00 2483,2483, 6:26:52 45:51:00 2483   997, 997,"40,2",1664,"4,6",L'ETALE,2483,997,3480,2014,Éloi
85,3400,-0:20:56 42:51:30 2826   574  LE LURIEN,-0:20:56 42:51:30,42:51:30,-0:20:56,-0:20:56 42:51:30 2826,2826,-0:20:56 42:51:30 2826   574, 574,"20,3",1633,"3,2",LE LURIEN,2826,574,3400,2008,
38,3881, 7:06:35 45:25:59 3482   399  GRANDE AIGUILLE ROUSSE, 7:06:35 45:25:59,45:25:59, 7:06:35, 7:06:35 45:25:59 3482,3482, 7:06:35 45:25:59 3482   399, 399,"11,5",1620,"4,2",GRANDE AIGUILLE ROUSSE,3482,399,3881,2003,Estelle
93,3345,-0:43:11 42:56:42 2504   841  Pic d'Anie,-0:43:11 42:56:42,42:56:42,-0:43:11,-0:43:11 42:56:42 2504,2504,-0:43:11 42:56:42 2504   841, 841,"33,6",1610,"17,3",Pic d'Anie,2504,841,3345,2004,Estelle
90,3362, 6:42:17 44:17:27 3020   342  LE CIMET, 6:42:17 44:17:27,44:17:27, 6:42:17, 6:42:17 44:17:27 3020,3020, 6:42:17 44:17:27 3020   342, 342,"11,3",1587,"2,8",LE CIMET,3020,342,3362,2013 / 2016,"Estelle / Estelle, Éloi, Siloé"
87,3379,-0:11:54 42:40:51 2853   526  Tendenera,-0:11:54 42:40:51,42:40:51,-0:11:54,-0:11:54 42:40:51 2853,2853,-0:11:54 42:40:51 2853   526, 526,"18,4",1572,"9,8",Tendenera,2853,526,3379,2006,Estelle
40,3841, 7:04:38 45:12:14 3538   303  ROCCIAMELONE / Rochemelon, 7:04:38 45:12:14,45:12:14, 7:04:38, 7:04:38 45:12:14 3538,3538, 7:04:38 45:12:14 3538   303, 303,"8,6",1565,"7,7",ROCCIAMELONE / Rochemelon,3538,303,3841,2003 / 2017,"Estelle / Estelle, Éloi, Siloé"
119,3266,-0:14:32 42:49:30 2965   301  PIC DE CAMBALES,-0:14:32 42:49:30,42:49:30,-0:14:32,-0:14:32 42:49:30 2965,2965,-0:14:32 42:49:30 2965   301, 301,"10,2",1561,"1,7",PIC DE CAMBALES,2965,301,3266,2006 / 2020,"Estelle / Estelle, Siloé, Stéphane et Blandine MARCHETTI"
53,3682, 6:30:19 44:17:11 2961   721  TETE DE L'ESTROP, 6:30:19 44:17:11,44:17:11, 6:30:19, 6:30:19 44:17:11 2961,2961, 6:30:19 44:17:11 2961   721, 721,"24,3",1553,"15,7",TETE DE L'ESTROP,2961,721,3682,2006 et 2013,Estelle
25,4051, 6:21:27 44:54:37 3775   276  PIC COOLIDGE, 6:21:27 44:54:37,44:54:37, 6:21:27, 6:21:27 44:54:37 3775,3775, 6:21:27 44:54:37 3775   276, 276,"7,3",1548,"1,1",PIC COOLIDGE,3775,276,4051,2003,Estelle
65,3546, 7:08:53 45:31:20 3438   108  MONTE TAOU BLANC / MONT TOUT BLANC, 7:08:53 45:31:20,45:31:20, 7:08:53, 7:08:53 45:31:20 3438,3438, 7:08:53 45:31:20 3438   108, 108,"3,1",1521,"0,6",MONTE TAOU BLANC / MONT TOUT BLANC,3438,108,3546,2015,Estelle
55,3641, 7:10:22 45:36:09 3414   227  PUNTA BIOULA / PUNTA DI BIOULA, 7:10:22 45:36:09,45:36:09, 7:10:22, 7:10:22 45:36:09 3414,3414, 7:10:22 45:36:09 3414   227, 227,"6,6",1494,"1,8",PUNTA BIOULA / PUNTA DI BIOULA,3414,227,3641,2015,Estelle
100,3321, 0:00:42 42:41:35 3248    73  Pic du Marboré, 0:00:42 42:41:35,42:41:35, 0:00:42, 0:00:42 42:41:35 3248,3248, 0:00:42 42:41:35 3248    73,  73,"2,2",1491,"1,1",Pic du Marboré,3248,73,3321,2010,Estelle
39,3837, 6:11:26 44:44:10 3163   674  VIEUX CHAILLOL, 6:11:26 44:44:10,44:44:10, 6:11:26, 6:11:26 44:44:10 3163,3163, 6:11:26 44:44:10 3163   674, 674,"21,3",1490,"10,4",VIEUX CHAILLOL,3163,674,3837,Automne 2007,Estelle
78,3434, 7:04:31 46:11:58 2969   465  GRANDE DENT DE MORCLES, 7:04:31 46:11:58,46:11:58, 7:04:31, 7:04:31 46:11:58 2969,2969, 7:04:31 46:11:58 2969   465, 465,"15,7",1486,"5,5",GRANDE DENT DE MORCLES,2969,465,3434,2012,
132,3223, 2:11:33 42:39:09 2469   754  Pic de Madres, 2:11:33 42:39:09,42:39:09, 2:11:33, 2:11:33 42:39:09 2469,2469, 2:11:33 42:39:09 2469   754, 754,"30,5",1480,"14,3",Pic de Madres,2469,754,3223,Printemps 2016,Éloi
71,3487, 6:47:05 46:19:57 2432  1055  LES CORNETTES DE BISE, 6:47:05 46:19:57,46:19:57, 6:47:05, 6:47:05 46:19:57 2432,2432, 6:47:05 46:19:57 2432  1055,1055,"43,4",1461,"18,3",LES CORNETTES DE BISE,2432,1055,3487,2001,Estelle
128,3235, 0:32:44 42:42:04 3109   126  Pic de Maupas, 0:32:44 42:42:04,42:42:04, 0:32:44, 0:32:44 42:42:04 3109,3109, 0:32:44 42:42:04 3109   126, 126,"4,1",1430,"1,8",Pic de Maupas,3109,126,3235,2019,"Estelle, Eloi, Siloé"
125,3253, 0:29:06 42:42:37 3065   188  Pic des Spijeoles, 0:29:06 42:42:37,42:42:37, 0:29:06, 0:29:06 42:42:37 3065,3065, 0:29:06 42:42:37 3065   188, 188,"6,1",1417,"1,3",Pic des Spijeoles,3065,188,3253,2019,Eloi (+ Estelle et Siloé)
82,3408, 5:51:26 44:58:38 2389  1019  Le Tabor, 5:51:26 44:58:38,44:58:38, 5:51:26, 5:51:26 44:58:38 2389,2389, 5:51:26 44:58:38 2389  1019,1019,"42,7",1408,"4,9",Le Tabor,2389,1019,3408,Automne 2014,"Estelle, Éloi, Siloé"
102,3320, 6:36:43 46:11:23 2244  1076  Roc d'Enfer, 6:36:43 46:11:23,46:11:23, 6:36:43, 6:36:43 46:11:23 2244,2244, 6:36:43 46:11:23 2244  1076,1076,"48,0",1405,"12,2",Roc d'Enfer,2244,1076,3320,2012,
54,3654, 6:49:26 44:29:53 3089   565  TETE DE LA COURBE, 6:49:26 44:29:53,44:29:53, 6:49:26, 6:49:26 44:29:53 3089,3089, 6:49:26 44:29:53 3089   565, 565,"18,3",1393,"2,9",TETE DE LA COURBE,3089,565,3654,2014,Estelle
115,3299, 6:32:47 44:20:16 2909   390  GRANDE SEOLANE, 6:32:47 44:20:16,44:20:16, 6:32:47, 6:32:47 44:20:16 2909,2909, 6:32:47 44:20:16 2909   390, 390,"13,4",1367,"6,6",GRANDE SEOLANE,2909,390,3299,2013,Estelle
109,3292, 7:25:13 44:06:54 3045   247  MONT CLAPIER, 7:25:13 44:06:54,44:06:54, 7:25:13, 7:25:13 44:06:54 3045,3045, 7:25:13 44:06:54 3045   247, 247,"8,1",1365,"1,9",MONT CLAPIER,3045,247,3292,2002,Estelle
114,3281, 6:33:50 45:06:50 3178   103  Mont Thabor, 6:33:50 45:06:50,45:06:50, 6:33:50, 6:33:50 45:06:50 3178,3178, 6:33:50 45:06:50 3178   103, 103,"3,2",1358,"0,5",Mont Thabor,3178,103,3281,2002 / 2018,"Estelle, Pierric, Marie, Laurent, Carole / Estelle, Éloi, Siloé"
62,3583, 6:29:18 45:03:56 3098   485  POINTE DES CERCES, 6:29:18 45:03:56,45:03:56, 6:29:18, 6:29:18 45:03:56 3098,3098, 6:29:18 45:03:56 3098   485, 485,"15,7",1354,"3,7",POINTE DES CERCES,3098,485,3583,2018,"Estelle, Éloi, Siloé"
89,3392, 6:48:19 44:14:41 2916   476  POINTE COTE DE L'ANE, 6:48:19 44:14:41,44:14:41, 6:48:19, 6:48:19 44:14:41 2916,2916, 6:48:19 44:14:41 2916   476, 476,"16,3",1351,"6,6",POINTE COTE DE L'ANE,2916,476,3392,Automne 2002 / 2016,"Estelle / Estelle, Éloi, Siloé"
120,3264, 6:53:18 44:22:03 2954   310  TETE DE L'ENCHASTRAYE, 6:53:18 44:22:03,44:22:03, 6:53:18, 6:53:18 44:22:03 2954,2954, 6:53:18 44:22:03 2954   310, 310,"10,5",1349,"8,8",TETE DE L'ENCHASTRAYE,2954,310,3264,2004,"Pierric, Marie & Jphi, Carole"
18,4156, 7:02:46 45:55:21 3823   333  MONT DOLENT, 7:02:46 45:55:21,45:55:21, 7:02:46, 7:02:46 45:55:21 3823,3823, 7:02:46 45:55:21 3823   333, 333,"8,7",1346,"1,7",MONT DOLENT,3823,333,4156,2002,Estelle
68,3525, 6:50:42 45:09:50 3236   289  LE PETIT VALLON, 6:50:42 45:09:50,45:09:50, 6:50:42, 6:50:42 45:09:50 3236,3236, 6:50:42 45:09:50 3236   289, 289,"8,9",1329,"3,0",LE PETIT VALLON,3236,289,3525,2017,"Estelle, Éloi, Siloé"
23,4067, 6:21:12 44:55:26 4015    52  Dôme de neige des Ecrins, 6:21:12 44:55:26,44:55:26, 6:21:12, 6:21:12 44:55:26 4015,4015, 6:21:12 44:55:26 4015    52,  52,"1,3",1321,0.3,Dôme de neige des Ecrins,4015,52,4067,2003,Estelle
7,4467, 6:53:16 45:51:25 4248   219  MONT BLANC DU TACUL, 6:53:16 45:51:25,45:51:25, 6:53:16, 6:53:16 45:51:25 4248,4248, 6:53:16 45:51:25 4248   219, 219,"5,2",1305,"0,9",MONT BLANC DU TACUL,4248,219,4467,2001,"Estelle, Papa"
94,3345, 7:06:47 46:10:43 2899   446  GRAND CHAVALARD, 7:06:47 46:10:43,46:10:43, 7:06:47, 7:06:47 46:10:43 2899,2899, 7:06:47 46:10:43 2899   446, 446,"15,4",1304,"3,5",GRAND CHAVALARD,2899,446,3345,2012,
